# citation: Williams, G. P. (2009). Electron binding energies. In X-Ray Data Booklet (Table 1-1). Center for X-Ray Optics, Lawrence Berkeley National Laboratory. https://xdb.lbl.gov/Section1/Table_1-1.p

energy_eV,atomic_number,element,line,relative_intensity,weight
5405.5,24,Cr,Ka2,50,0.30303
5414.7,24,Cr,Ka1,100,0.606061
5946.7,24,Cr,"Kb1,3",15,0.090909
3795,55,Cs,Ll,4,0.019608
4272.2,55,Cs,La2,11,0.053922
4286.5,55,Cs,La1,100,0.490196
4619.8,55,Cs,Lb1,61,0.29902
4935.9,55,Cs,"Lb2,15",20,0.098039
5280.4,55,Cs,Lg1,8,0.039216
30625.1,55,Cs,Ka2,54,0.28877
30972.8,55,Cs,Ka1,100,0.534759
34919.4,55,Cs,Kb3,9,0.048128
34986.9,55,Cs,Kb1,18,0.096257
35822,55,Cs,Kb2,6,0.032086
811.1,29,Cu,Ll,8,0.043478
929.7,29,Cu,"La1,2",111,0.603261
949.8,29,Cu,Lb1,65,0.353261
8027.8,29,Cu,Ka2,51,0.303571
8047.8,29,Cu,Ka1,100,0.595238
8905.3,29,Cu,"Kb1,3",17,0.10119
1293,66,Dy,Ma1,100,1
5743.1,66,Dy,Ll,4,0.019231
6457.7,66,Dy,La2,11,0.052885
6495.2,66,Dy,La1,100,0.480769
7247.7,66,Dy,Lb1,62,0.298077
7635.7,66,Dy,Lb2,20,0.096154
8418.8,66,Dy,Lg1,11,0.052885
45207.8,66,Dy,Ka2,56,0.290155
45998.4,66,Dy,Ka1,100,0.518135
51957,66,Dy,Kb3,10,0.051813
52119,66,Dy,Kb1,20,0.103627
53476,66,Dy,Kb2,7,0.036269
1406,68,Er,Ma1,100,1
6152,68,Er,Ll,4,0.019048
6905,68,Er,La2,11,0.052381
6948.7,68,Er,La1,100,0.47619
7810.9,68,Er,Lb1,64,0.304762
8189,68,Er,"Lb2,15",20,0.095238
9089,68,Er,Lg1,11,0.052381
48221.1,68,Er,Ka2,56,0.287179
49127.7,68,Er,Ka1,100,0.512821
55494,68,Er,Kb3,11,0.05641
55681,68,Er,Kb1,21,0.107692
57210,68,Er,Kb2,7,0.035897
1131,63,Eu,Ma1,100,1
5177.2,63,Eu,Ll,4,0.019231
5816.6,63,Eu,La2,11,0.052885
5845.7,63,Eu,La1,100,0.480769
6456.4,63,Eu,Lb1,62,0.298077
6843.2,63,Eu,"Lb2,15",21,0.100962
7480.3,63,Eu,Lg1,10,0.048077
40901.9,63,Eu,Ka2,56,0.293194
41542.2,63,Eu,Ka1,100,0.52356
46903.6,63,Eu,Kb3,10,0.052356
47037.9,63,Eu,Kb1,19,0.099476
48256,63,Eu,Kb2,6,0.031414
676.8,9,F,"Ka1,2",148,1
615.2,26,Fe,Ll,10,0.053476
705,26,Fe,"La1,2",111,0.593583
718.5,26,Fe,Lb1,66,0.352941
6390.8,26,Fe,Ka2,50,0.299401
6403.8,26,Fe,Ka1,100,0.598802
7058,26,Fe,"Kb1,3",17,0.101796
957.2,31,Ga,Ll,7,0.038043
1097.9,31,Ga,"La1,2",111,0.603261
1124.8,31,Ga,Lb1,66,0.358696
9224.8,31,Ga,Ka2,51,0.22973
9251.7,31,Ga,Ka1,100,0.45045
10260.3,31,Ga,Kb3,5,0.022523
10264.2,31,Ga,Kb1,66,0.297297
1185,64,Gd,Ma1,100,1
5362.1,64,Gd,Ll,4,0.019139
6025,64,Gd,La2,11,0.052632
6057.2,64,Gd,La1,100,0.478469
6713.2,64,Gd,Lb1,62,0.296651
7102.8,64,Gd,"Lb2,15",21,0.100478
7785.8,64,Gd,Lg1,11,0.052632
42308.9,64,Gd,Ka2,56,0.290155
42996.2,64,Gd,Ka1,100,0.518135
48555,64,Gd,Kb3,10,0.051813
48697,64,Gd,Kb1,20,0.103627
49959,64,Gd,Kb2,7,0.036269
1036.2,32,Ge,Ll,6,0.033898
1188,32,Ge,"La1,2",111,0.627119
1218.5,32,Ge,Lb1,60,0.338983
9855.3,32,Ge,Ka2,51,0.235023
9886.4,32,Ge,Ka1,100,0.460829
10978,32,Ge,Kb3,6,0.02765
10982.1,32,Ge,Kb1,60,0.276498
1644.6,72,Hf,Ma1,100,1
6959.6,72,Hf,Ll,5,0.023256
7844.6,72,Hf,La2,11,0.051163
7899,72,Hf,La1,100,0.465116
9022.7,72,Hf,Lb1,67,0.311628
9347.3,72,Hf,Lb2,20,0.093023
10515.8,72,Hf,Lg1,12,0.055814
54611.4,72,Hf,Ka2,57,0.28934
55790.2,72,Hf,Ka1,100,0.507614
62980,72,Hf,Kb3,11,0.055838
63234,72,Hf,Kb1,22,0.111675
64980,72,Hf,Kb2,7,0.035533
2195.3,80,Hg,Ma1,100,1
8721,80,Hg,Ll,5,0.022624
9897.6,80,Hg,La2,11,0.049774
9988.8,80,Hg,La1,100,0.452489
11822.6,80,Hg,Lb1,67,0.303167
11924.1,80,Hg,Lb2,24,0.108597
13830.1,80,Hg,Lg1,14,0.063348
68895,80,Hg,Ka2,59,0.292079
70819,80,Hg,Ka1,100,0.49505
79822,80,Hg,Kb3,12,0.059406
80253,80,Hg,Kb1,23,0.113861
82515,80,Hg,Kb2,8,0.039604
1348,67,Ho,Ma1,100,1
5943.4,67,Ho,Ll,4,0.019048
6679.5,67,Ho,La2,11,0.052381
6719.8,67,Ho,La1,100,0.47619
7525.3,67,Ho,Lb1,64,0.304762
7911,67,Ho,"Lb2,15",20,0.095238
8747,67,Ho,Lg1,11,0.052381
46699.7,67,Ho,Ka2,56,0.28866
47546.7,67,Ho,Ka1,100,0.515464
53711,67,Ho,Kb3,11,0.056701
53877,67,Ho,Kb1,20,0.103093
55293,67,Ho,Kb2,7,0.036082
3485,53,I,Ll,4,0.019704
3926,53,I,La2,11,0.054187
3937.6,53,I,La1,100,0.492611
4220.7,53,I,Lb1,61,0.300493
4507.5,53,I,"Lb2,15",19,0.093596
4800.9,53,I,Lg1,8,0.039409
28317.2,53,I,Ka2,54,0.290323
28612,53,I,Ka1,100,0.537634
32239.4,53,I,Kb3,9,0.048387
32294.7,53,I,Kb1,18,0.096774
33042,53,I,Kb2,5,0.026882
2904.4,49,In,Ll,4,0.020619
3279.3,49,In,La2,11,0.056701
3286.9,49,In,La1,100,0.515464
3487.2,49,In,Lb1,58,0.298969
3713.8,49,In,"Lb2,15",15,0.07732
3920.8,49,In,Lg1,6,0.030928
24002,49,In,Ka2,53,0.288043
24209.7,49,In,Ka1,100,0.543478
27237.7,49,In,Kb3,9,0.048913
27275.9,49,In,Kb1,17,0.092391
27860.8,49,In,Kb2,5,0.027174
1979.9,77,Ir,Ma1,100,1
8045.8,77,Ir,Ll,5,0.023041
9099.5,77,Ir,La2,11,0.050691
9175.1,77,Ir,La1,100,0.460829
10708.3,77,Ir,Lb1,66,0.304147
10920.3,77,Ir,Lb2,22,0.101382
12512.6,77,Ir,Lg1,13,0.059908
63286.7,77,Ir,Ka2,58,0.288557
64895.6,77,Ir,Ka1,100,0.497512
73202.7,77,Ir,Kb3,12,0.059701
73560.8,77,Ir,Kb1,23,0.114428
75575,77,Ir,Kb2,8,0.039801
3311.1,19,K,Ka2,50,0.310559
3313.8,19,K,Ka1,100,0.621118
3589.6,19,K,"Kb1,3",11,0.068323
1386,36,Kr,Ll,5,0.028902
1586,36,Kr,"La1,2",111,0.641618
1636.6,36,Kr,Lb1,57,0.32948
12598,36,Kr,Ka2,52,0.297143
12649,36,Kr,Ka1,100,0.571429
14104,36,Kr,Kb3,7,0.04
14112,36,Kr,Kb1,14,0.08
14315,36,Kr,Kb2,2,0.011429
833,57,La,Ma1,100,1
4124,57,La,Ll,4,0.019512
4634.2,57,La,La2,11,0.053659
4651,57,La,La1,100,0.487805
5042.1,57,La,Lb1,60,0.292683
5383.5,57,La,"Lb2,15",21,0.102439
5788.5,57,La,Lg1,9,0.043902
33034.1,57,La,Ka2,54,0.285714
33441.8,57,La,Ka1,100,0.529101
37720.2,57,La,Kb3,10,0.05291
37801,57,La,Kb1,19,0.100529
38729.9,57,La,Kb2,6,0.031746
54.3,3,Li,"Ka1,2",150,1
1581.3,71,Lu,Ma1,100,1
6752.8,71,Lu,Ll,4,0.018868
7604.9,71,Lu,La2,11,0.051887
7655.5,71,Lu,La1,100,0.471698
8709,71,Lu,Lb1,66,0.311321
9048.9,71,Lu,Lb2,19,0.089623
10143.4,71,Lu,Lg1,12,0.056604
52965,71,Lu,Ka2,57,0.290816
54069.8,71,Lu,Ka1,100,0.510204
61050,71,Lu,Kb3,11,0.056122
61283,71,Lu,Kb1,21,0.107143
62970,71,Lu,Kb2,7,0.035714
1253.6,12,Mg,"Ka1,2",150,1
556.3,25,Mn,Ll,15,0.073892
637.4,25,Mn,"La1,2",111,0.546798
648.8,25,Mn,Lb1,77,0.37931
5887.6,25,Mn,Ka2,50,0.299401
5898.8,25,Mn,Ka1,100,0.598802
6490.4,25,Mn,"Kb1,3",17,0.101796
2015.7,42,Mo,Ll,5,0.028249
2289.8,42,Mo,La2,11,0.062147
2293.2,42,Mo,La1,100,0.564972
2394.8,42,Mo,Lb1,53,0.299435
2518.3,42,Mo,"Lb2,15",5,0.028249
2623.5,42,Mo,Lg1,3,0.016949
17374.3,42,Mo,Ka2,52,0.292135
17479.3,42,Mo,Ka1,100,0.561798
19590.3,42,Mo,Kb3,8,0.044944
19608.3,42,Mo,Kb1,15,0.08427
19965.2,42,Mo,Kb2,3,0.016854
392.4,7,N,"Ka1,2",150,1
1041,11,Na,"Ka1,2",150,1
1902.2,41,Nb,Ll,5,0.028902
2163,41,Nb,La2,11,0.063584
2165.9,41,Nb,La1,100,0.578035
2257.4,41,Nb,Lb1,52,0.300578
2367,41,Nb,"Lb2,15",3,0.017341
2461.8,41,Nb,Lg1,2,0.011561
16521,41,Nb,Ka2,52,0.292135
16615.1,41,Nb,Ka1,100,0.561798
18606.3,41,Nb,Kb3,8,0.044944
18622.5,41,Nb,Kb1,15,0.08427
18953,41,Nb,Kb2,3,0.016854
978,60,Nd,Ma1,100,1
4633,60,Nd,Ll,4,0.019417
5207.7,60,Nd,La2,11,0.053398
5230.4,60,Nd,La1,100,0.485437
5721.6,60,Nd,Lb1,60,0.291262
6089.4,60,Nd,"Lb2,15",21,0.101942
6602.1,60,Nd,Lg1,10,0.048544
36847.4,60,Nd,Ka2,55,0.289474
37361,60,Nd,Ka1,100,0.526316
42166.5,60,Nd,Kb3,10,0.052632
42271.3,60,Nd,Kb1,19,0.1
43335,60,Nd,Kb2,6,0.031579
848.6,10,Ne,"Ka1,2",150,1
742.7,28,Ni,Ll,9,0.047872
851.5,28,Ni,"La1,2",111,0.590426
868.8,28,Ni,Lb1,68,0.361702
7460.9,28,Ni,Ka2,51,0.303571
7478.2,28,Ni,Ka1,100,0.595238
8264.7,28,Ni,"Kb1,3",17,0.10119
524.9,8,O,"Ka1,2",151,1
1910.2,76,Os,Ma1,100,1
7822.2,76,Os,Ll,5,0.022936
8841,76,Os,La2,11,0.050459
8911.7,76,Os,La1,100,0.458716
10355.3,76,Os,Lb1,67,0.307339
10598.5,76,Os,Lb2,22,0.100917
12095.3,76,Os,Lg1,13,0.059633
61486.7,76,Os,Ka2,58,0.288557
63000.5,76,Os,Ka1,100,0.497512
71077,76,Os,Kb3,12,0.059701
71413,76,Os,Kb1,23,0.114428
73363,76,Os,Kb2,8,0.039801
2012.7,15,P,Ka2,50,0.326797
2013.7,15,P,Ka1,100,0.653595
2139.1,15,P,Kb1,3,0.019608
2345.5,82,Pb,Ma1,100,1
9184.5,82,Pb,Ll,6,0.027027
10449.5,82,Pb,La2,11,0.04955
10551.5,82,Pb,La1,100,0.45045
12613.7,82,Pb,Lb1,66,0.297297
12622.6,82,Pb,Lb2,25,0.112613
14764.4,82,Pb,Lg1,14,0.063063
72804.2,82,Pb,Ka2,60,0.295567
74969.4,82,Pb,Ka1,100,0.492611
84450,82,Pb,Kb3,12,0.059113
84936,82,Pb,Kb1,23,0.1133
87320,82,Pb,Kb2,8,0.039409
2503.4,46,Pd,Ll,4,0.021505
2833.3,46,Pd,La2,11,0.05914
2838.6,46,Pd,La1,100,0.537634
2990.2,46,Pd,Lb1,53,0.284946
3171.8,46,Pd,"Lb2,15",12,0.064516
3328.7,46,Pd,Lg1,6,0.032258
21020.1,46,Pd,Ka2,53,0.292818
21177.1,46,Pd,Ka1,100,0.552486
23791.1,46,Pd,Kb3,8,0.044199
23818.7,46,Pd,Kb1,16,0.088398
24299.1,46,Pd,Kb2,4,0.022099
4809,61,Pm,Ll,4,0.019324
5408,61,Pm,La2,11,0.05314
5432,61,Pm,La1,100,0.483092
5961,61,Pm,Lb1,61,0.294686
6339,61,Pm,Lb2,21,0.101449
6892,61,Pm,Lg1,10,0.048309
38171.2,61,Pm,Ka2,55,0.289474
38724.7,61,Pm,Ka1,100,0.526316
43713,61,Pm,Kb3,10,0.052632
43826,61,Pm,Kb1,19,0.1
44942,61,Pm,Kb2,6,0.031579
929.2,59,Pr,Ma1,100,1
4453.2,59,Pr,Ll,4,0.019417
5013.5,59,Pr,La2,11,0.053398
5033.7,59,Pr,La1,100,0.485437
5488.9,59,Pr,Lb1,61,0.296117
5850,59,Pr,"Lb2,15",21,0.101942
6322.1,59,Pr,Lg1,9,0.043689
35550.2,59,Pr,Ka2,55,0.289474
36026.3,59,Pr,Ka1,100,0.526316
40652.9,59,Pr,Kb3,10,0.052632
40748.2,59,Pr,Kb1,19,0.1
41773,59,Pr,Kb2,6,0.031579
2050.5,78,Pt,Ma1,100,1
8268,78,Pt,Ll,5,0.022831
9361.8,78,Pt,La2,11,0.050228
9442.3,78,Pt,La1,100,0.456621
11070.7,78,Pt,Lb1,67,0.305936
11250.5,78,Pt,Lb2,23,0.105023
12942,78,Pt,Lg1,13,0.059361
65112,78,Pt,Ka2,58,0.288557
66832,78,Pt,Ka1,100,0.497512
75368,78,Pt,Kb3,12,0.059701
75748,78,Pt,Kb1,23,0.114428
77850,78,Pt,Kb2,8,0.039801
1482.4,37,Rb,Ll,5,0.028736
1692.6,37,Rb,La2,11,0.063218
1694.1,37,Rb,La1,100,0.574713
1752.2,37,Rb,Lb1,58,0.333333
13335.8,37,Rb,Ka2,52,0.297143
13395.3,37,Rb,Ka1,100,0.571429
14951.7,37,Rb,Kb3,7,0.04
14961.3,37,Rb,Kb1,14,0.08
15185,37,Rb,Kb2,2,0.011429
1842.5,75,Re,Ma1,100,1
7603.6,75,Re,Ll,5,0.023041
8586.2,75,Re,La2,11,0.050691
8652.5,75,Re,La1,100,0.460829
10010,75,Re,Lb1,66,0.304147
10275.2,75,Re,Lb2,22,0.101382
11685.4,75,Re,Lg1,13,0.059908
59717.9,75,Re,Ka2,58,0.29
61140.3,75,Re,Ka1,100,0.5
68994,75,Re,Kb3,12,0.06
69310,75,Re,Kb1,22,0.11
71232,75,Re,Kb2,8,0.04
2376.5,45,Rh,Ll,4,0.021978
2692,45,Rh,La2,11,0.06044
2696.7,45,Rh,La1,100,0.549451
2834.4,45,Rh,Lb1,52,0.285714
3001.3,45,Rh,"Lb2,15",10,0.054945
3143.8,45,Rh,Lg1,5,0.027473
20073.7,45,Rh,Ka2,53,0.292818
20216.1,45,Rh,Ka1,100,0.552486
22698.9,45,Rh,Kb3,8,0.044199
22723.6,45,Rh,Kb1,16,0.088398
23172.8,45,Rh,Kb2,4,0.022099
2252.8,44,Ru,Ll,4,0.021858
2554.3,44,Ru,La2,11,0.060109
2558.6,44,Ru,La1,100,0.546448
2683.2,44,Ru,Lb1,54,0.295082
2836,44,Ru,"Lb2,15",10,0.054645
2964.5,44,Ru,Lg1,4,0.021858
19150.4,44,Ru,Ka2,53,0.292818
19279.2,44,Ru,Ka1,100,0.552486
21634.6,44,Ru,Kb3,8,0.044199
21656.8,44,Ru,Kb1,16,0.088398
22074,44,Ru,Kb2,4,0.022099
2306.6,16,S,Ka2,50,0.322581
2307.8,16,S,Ka1,100,0.645161
2464,16,S,Kb1,5,0.032258
3188.6,51,Sb,Ll,4,0.0199
3595.3,51,Sb,La2,11,0.054726
3604.7,51,Sb,La1,100,0.497512
3843.6,51,Sb,Lb1,61,0.303483
4100.8,51,Sb,"Lb2,15",17,0.084577
4347.8,51,Sb,Lg1,8,0.039801
26110.8,51,Sb,Ka2,54,0.290323
26359.1,51,Sb,Ka1,100,0.537634
29679.2,51,Sb,Kb3,9,0.048387
29725.6,51,Sb,Kb1,18,0.096774
30389.5,51,Sb,Kb2,5,0.026882
348.3,21,Sc,Ll,21,0.100478
395.4,21,Sc,"La1,2",111,0.5311
399.6,21,Sc,Lb1,77,0.368421
4086.1,21,Sc,Ka2,50,0.30303
4090.6,21,Sc,Ka1,100,0.606061
4460.5,21,Sc,"Kb1,3",15,0.090909
1204.4,34,Se,Ll,6,0.034091
1379.1,34,Se,"La1,2",111,0.630682
1419.2,34,Se,Lb1,59,0.335227
11181.4,34,Se,Ka2,52,0.302326
11222.4,34,Se,Ka1,100,0.581395
12489.6,34,Se,Kb3,6,0.034884
12495.9,34,Se,Kb1,13,0.075581
12652,34,Se,Kb2,1,0.005814
1739.4,14,Si,Ka2,50,0.328947
1740,14,Si,Ka1,100,0.657895
1835.9,14,Si,Kb1,2,0.013158
1081,62,Sm,Ma1,100,1
4994.5,62,Sm,Ll,4,0.019324
5609,62,Sm,La2,11,0.05314
5636.1,62,Sm,La1,100,0.483092
6205.1,62,Sm,Lb1,61,0.294686
6587,62,Sm,"Lb2,15",21,0.101449
7178,62,Sm,Lg1,10,0.048309
39522.4,62,Sm,Ka2,55,0.289474
40118.1,62,Sm,Ka1,100,0.526316
45289,62,Sm,Kb3,10,0.052632
45413,62,Sm,Kb1,19,0.1
46578,62,Sm,Kb2,6,0.031579
3045,50,Sn,Ll,4,0.020202
3435.4,50,Sn,La2,11,0.055556
3444,50,Sn,La1,100,0.505051
3662.8,50,Sn,Lb1,60,0.30303
3904.9,50,Sn,"Lb2,15",16,0.080808
4131.1,50,Sn,Lg1,7,0.035354
25044,50,Sn,Ka2,53,0.288043
25271.3,50,Sn,Ka1,100,0.543478
28444,50,Sn,Kb3,9,0.048913
28486,50,Sn,Kb1,17,0.092391
29109.3,50,Sn,Kb2,5,0.027174
1582.2,38,Sr,Ll,5,0.028736
1804.7,38,Sr,La2,11,0.063218
1806.6,38,Sr,La1,100,0.574713
1871.7,38,Sr,Lb1,58,0.333333
14097.9,38,Sr,Ka2,52,0.295455
14165,38,Sr,Ka1,100,0.568182
15824.9,38,Sr,Kb3,7,0.039773
15835.7,38,Sr,Kb1,14,0.079545
16084.6,38,Sr,Kb2,3,0.017045
1709.6,73,Ta,Ma1,100,1
7173.1,73,Ta,Ll,5,0.023256
8087.9,73,Ta,La2,11,0.051163
8146.1,73,Ta,La1,100,0.465116
9343.1,73,Ta,Lb1,67,0.311628
9651.8,73,Ta,Lb2,20,0.093023
10895.2,73,Ta,Lg1,12,0.055814
56277,73,Ta,Ka2,57,0.28934
57532,73,Ta,Ka1,100,0.507614
64948.8,73,Ta,Kb3,11,0.055838
65223,73,Ta,Kb1,22,0.111675
66990,73,Ta,Kb2,7,0.035533
1240,65,Tb,Ma1,100,1
5546.7,65,Tb,Ll,4,0.019231
6238,65,Tb,La2,11,0.052885
6272.8,65,Tb,La1,100,0.480769
6978,65,Tb,Lb1,61,0.293269
7366.7,65,Tb,"Lb2,15",21,0.100962
8102,65,Tb,Lg1,11,0.052885
43744.1,65,Tb,Ka2,56,0.290155
44481.6,65,Tb,Ka1,100,0.518135
50229,65,Tb,Kb3,10,0.051813
50382,65,Tb,Kb1,20,0.103627
51698,65,Tb,Kb2,7,0.036269
2122,43,Tc,Ll,5,0.027778
2420,43,Tc,La2,11,0.061111
2424,43,Tc,La1,100,0.555556
2538,43,Tc,Lb1,54,0.3
2674,43,Tc,"Lb2,15",7,0.038889
2792,43,Tc,Lg1,3,0.016667
18250.8,43,Tc,Ka2,53,0.292818
18367.1,43,Tc,Ka1,100,0.552486
20599,43,Tc,Kb3,8,0.044199
20619,43,Tc,Kb1,16,0.088398
21005,43,Tc,Kb2,4,0.022099
3335.6,52,Te,Ll,4,0.019802
3758.8,52,Te,La2,11,0.054455
3769.3,52,Te,La1,100,0.49505
4029.6,52,Te,Lb1,61,0.30198
4301.7,52,Te,"Lb2,15",18,0.089109
4570.9,52,Te,Lg1,8,0.039604
27201.7,52,Te,Ka2,54,0.290323
27472.3,52,Te,Ka1,100,0.537634
30944.3,52,Te,Kb3,9,0.048387
30995.7,52,Te,Kb1,18,0.096774
31700.4,52,Te,Kb2,5,0.026882
2996.1,90,Th,Ma1,100,1
11118.6,90,Th,Ll,6,0.026316
12809.6,90,Th,La2,11,0.048246
12968.7,90,Th,La1,100,0.438596
15623.7,90,Th,Lb2,26,0.114035
16202.2,90,Th,Lb1,69,0.302632
18982.5,90,Th,Lg1,16,0.070175
89953,90,Th,Ka2,62,0.299517
93350,90,Th,Ka1,100,0.483092
104831,90,Th,Kb3,12,0.057971
105609,90,Th,Kb1,24,0.115942
108640,90,Th,Kb2,9,0.043478
395.3,22,Ti,Ll,46,0.194915
452.2,22,Ti,"La1,2",111,0.470339
458.4,22,Ti,Lb1,79,0.334746
4504.9,22,Ti,Ka2,50,0.30303
4510.8,22,Ti,Ka1,100,0.606061
4931.8,22,Ti,"Kb1,3",15,0.090909
2270.6,81,Tl,Ma1,100,1
8953.2,81,Tl,Ll,6,0.026906
10172.8,81,Tl,La2,11,0.049327
10268.5,81,Tl,La1,100,0.44843
12213.3,81,Tl,Lb1,67,0.300448
12271.5,81,Tl,Lb2,25,0.112108
14291.5,81,Tl,Lg1,14,0.06278
70831.9,81,Tl,Ka2,60,0.295567
72871.5,81,Tl,Ka1,100,0.492611
82118,81,Tl,Kb3,12,0.059113
82576,81,Tl,Kb1,23,0.1133
84910,81,Tl,Kb2,8,0.039409
1462,69,Tm,Ma1,100,1
6341.9,69,Tm,Ll,4,0.018957
7133.1,69,Tm,La2,11,0.052133
7179.9,69,Tm,La1,100,0.473934
8101,69,Tm,Lb1,64,0.303318
8468,69,Tm,"Lb2,15",20,0.094787
9426,69,Tm,Lg1,12,0.056872
49772.6,69,Tm,Ka2,57,0.290816
50741.6,69,Tm,Ka1,100,0.510204
57304,69,Tm,Kb3,11,0.056122
57517,69,Tm,Kb1,21,0.107143
59090,69,Tm,Kb2,7,0.035714
3170.8,92,U,Ma1,100,1
11618.3,92,U,Ll,7,0.031818
13438.8,92,U,La2,11,0.05
13614.7,92,U,La1,100,0.454545
16428.3,92,U,Lb2,26,0.118182
17220,92,U,Lb1,61,0.277273
20167.1,92,U,Lg1,15,0.068182
94665,92,U,Ka2,62,0.298077
98439,92,U,Ka1,100,0.480769
110406,92,U,Kb3,13,0.0625
111300,92,U,Kb1,24,0.115385
114530,92,U,Kb2,9,0.043269
