#citation: # EELS Atlas. EELS.info. Retrieved June 22, 2026, from https://eels.info/atlas

atomic_number,symbol,element,edge_label,edge_energy_eV
31,Ga,Gallium,minor,158
31,Ga,Gallium,minor,107
31,Ga,Gallium,minor,103
31,Ga,Gallium,minor,17
32,Ge,Germanium,major,11103
32,Ge,Germanium,major,1248
32,Ge,Germanium,major,1217
32,Ge,Germanium,major,29
32,Ge,Germanium,minor,1414
32,Ge,Germanium,minor,180
32,Ge,Germanium,minor,128
32,Ge,Germanium,minor,121
33,As,Arsenic,major,11867
33,As,Arsenic,major,1359
33,As,Arsenic,major,1323
33,As,Arsenic,major,41
33,As,Arsenic,minor,1527
33,As,Arsenic,minor,204
33,As,Arsenic,minor,146
33,As,Arsenic,minor,141
34,Se,Selenium,major,12658
34,Se,Selenium,major,1476
34,Se,Selenium,major,1436
34,Se,Selenium,major,57
34,Se,Selenium,minor,1654
34,Se,Selenium,minor,232
34,Se,Selenium,minor,168
34,Se,Selenium,minor,162
35,Br,Bromine,major,13474
35,Br,Bromine,major,1596
35,Br,Bromine,major,1550
35,Br,Bromine,major,70
35,Br,Bromine,major,69
35,Br,Bromine,minor,1782
35,Br,Bromine,minor,257
35,Br,Bromine,minor,189
35,Br,Bromine,minor,182
35,Br,Bromine,minor,27
36,Kr,Krypton,major,14326
36,Kr,Krypton,major,1727
36,Kr,Krypton,major,1675
36,Kr,Krypton,major,89
36,Kr,Krypton,major,11
36,Kr,Krypton,minor,1921
36,Kr,Krypton,minor,287
36,Kr,Krypton,minor,223
36,Kr,Krypton,minor,214
36,Kr,Krypton,minor,24
37,Rb,Rubidium,major,15200
37,Rb,Rubidium,major,1864
37,Rb,Rubidium,major,1804
37,Rb,Rubidium,major,112
37,Rb,Rubidium,major,110
37,Rb,Rubidium,major,15
37,Rb,Rubidium,major,14
37,Rb,Rubidium,minor,2065
37,Rb,Rubidium,minor,322
37,Rb,Rubidium,minor,247
37,Rb,Rubidium,minor,239
37,Rb,Rubidium,minor,29
38,Sr,Strontium,major,16105
38,Sr,Strontium,major,2007
38,Sr,Strontium,major,1940
38,Sr,Strontium,major,135
38,Sr,Strontium,major,133
38,Sr,Strontium,major,20
38,Sr,Strontium,minor,2216
38,Sr,Strontium,minor,358
38,Sr,Strontium,minor,280
38,Sr,Strontium,minor,269
38,Sr,Strontium,minor,38
39,Y,Yttrium,major,17038
39,Y,Yttrium,major,2156
39,Y,Yttrium,major,2080
39,Y,Yttrium,major,160
39,Y,Yttrium,major,157
39,Y,Yttrium,major,26
39,Y,Yttrium,minor,2373
39,Y,Yttrium,minor,394
39,Y,Yttrium,minor,312
39,Y,Yttrium,minor,300
39,Y,Yttrium,minor,45
40,Zr,Zirconium,major,17998
40,Zr,Zirconium,major,2307
40,Zr,Zirconium,major,2222
40,Zr,Zirconium,major,182
40,Zr,Zirconium,major,180
40,Zr,Zirconium,major,29
40,Zr,Zirconium,minor,2532
40,Zr,Zirconium,minor,430
40,Zr,Zirconium,minor,344
40,Zr,Zirconium,minor,331
40,Zr,Zirconium,minor,51
41,Nb,Niobium,major,18986
41,Nb,Niobium,major,2465
41,Nb,Niobium,major,2371
41,Nb,Niobium,major,207
41,Nb,Niobium,major,205
41,Nb,Niobium,major,34
41,Nb,Niobium,minor,2698
41,Nb,Niobium,minor,468
41,Nb,Niobium,minor,378
41,Nb,Niobium,minor,363
41,Nb,Niobium,minor,58
42,Mo,Molybdenum,major,20000
42,Mo,Molybdenum,major,2625
42,Mo,Molybdenum,major,2520
42,Mo,Molybdenum,major,230
42,Mo,Molybdenum,major,227
42,Mo,Molybdenum,major,35
42,Mo,Molybdenum,minor,2866
42,Mo,Molybdenum,minor,505
42,Mo,Molybdenum,minor,410
42,Mo,Molybdenum,minor,392
42,Mo,Molybdenum,minor,62
43,Tc,Technetium,major,21044
43,Tc,Technetium,major,2793
43,Tc,Technetium,major,2677
43,Tc,Technetium,major,256
43,Tc,Technetium,major,253
43,Tc,Technetium,major,39
43,Tc,Technetium,minor,3043
43,Tc,Technetium,minor,544
43,Tc,Technetium,minor,445
43,Tc,Technetium,minor,425
43,Tc,Technetium,minor,68
44,Ru,Ruthenium,major,22117
44,Ru,Ruthenium,major,2967
44,Ru,Ruthenium,major,2838
44,Ru,Ruthenium,major,284
44,Ru,Ruthenium,major,279
44,Ru,Ruthenium,major,43
44,Ru,Ruthenium,minor,3224
44,Ru,Ruthenium,minor,585
44,Ru,Ruthenium,minor,483
44,Ru,Ruthenium,minor,407
44,Ru,Ruthenium,minor,75
45,Rh,Rhodium,major,23220
45,Rh,Rhodium,major,3146
45,Rh,Rhodium,major,3004
45,Rh,Rhodium,major,312
45,Rh,Rhodium,major,307
45,Rh,Rhodium,major,48
45,Rh,Rhodium,minor,3412
45,Rh,Rhodium,minor,627
45,Rh,Rhodium,minor,521
45,Rh,Rhodium,minor,496
45,Rh,Rhodium,minor,81
46,Pd,Palladium,major,24350
46,Pd,Palladium,major,3330
46,Pd,Palladium,major,3173
46,Pd,Palladium,major,340
46,Pd,Palladium,major,335
46,Pd,Palladium,major,51
46,Pd,Palladium,minor,3604
46,Pd,Palladium,minor,670
46,Pd,Palladium,minor,559
46,Pd,Palladium,minor,532
46,Pd,Palladium,minor,86
47,Ag,Silver,major,25514
47,Ag,Silver,major,3524
47,Ag,Silver,major,3351
47,Ag,Silver,major,373
47,Ag,Silver,major,367
47,Ag,Silver,minor,3806
47,Ag,Silver,minor,718
47,Ag,Silver,minor,602
47,Ag,Silver,minor,571
47,Ag,Silver,minor,95
47,Ag,Silver,minor,63
47,Ag,Silver,minor,56
48,Cd,Cadmium,major,26711
48,Cd,Cadmium,major,3727
48,Cd,Cadmium,major,3538
48,Cd,Cadmium,major,411
48,Cd,Cadmium,major,404
48,Cd,Cadmium,minor,4018
48,Cd,Cadmium,minor,770
48,Cd,Cadmium,minor,651
48,Cd,Cadmium,minor,617
48,Cd,Cadmium,minor,108
48,Cd,Cadmium,minor,67
49,In,Indium,major,27940
49,In,Indium,major,3938
49,In,Indium,major,3730
49,In,Indium,major,451
49,In,Indium,major,443
49,In,Indium,minor,4238
49,In,Indium,minor,826
49,In,Indium,minor,702
49,In,Indium,minor,664
49,In,Indium,minor,122
49,In,Indium,minor,77
50,Sn,Tin,major,29200
50,Sn,Tin,major,4156
50,Sn,Tin,major,3929
50,Sn,Tin,major,493
50,Sn,Tin,major,485
50,Sn,Tin,major,24
50,Sn,Tin,minor,4465
50,Sn,Tin,minor,884
50,Sn,Tin,minor,756
50,Sn,Tin,minor,714
50,Sn,Tin,minor,137
50,Sn,Tin,minor,89
51,Sb,Antimony,major,30491
51,Sb,Antimony,major,4380
51,Sb,Antimony,major,4132
51,Sb,Antimony,major,537
51,Sb,Antimony,major,528
51,Sb,Antimony,major,31
51,Sb,Antimony,minor,4698
51,Sb,Antimony,minor,944
51,Sb,Antimony,minor,812
51,Sb,Antimony,minor,766
51,Sb,Antimony,minor,152
51,Sb,Antimony,minor,98
52,Te,Tellurium,major,31814
52,Te,Tellurium,major,4341
52,Te,Tellurium,major,583
52,Te,Tellurium,major,572
52,Te,Tellurium,major,40
52,Te,Tellurium,minor,4939
52,Te,Tellurium,minor,4612
52,Te,Tellurium,minor,1006
52,Te,Tellurium,minor,870
52,Te,Tellurium,minor,819
52,Te,Tellurium,minor,168
52,Te,Tellurium,minor,110
53,I,Iodine,major,33169
53,I,Iodine,major,4557
53,I,Iodine,major,631
53,I,Iodine,major,619
53,I,Iodine,major,50
53,I,Iodine,minor,5188
53,I,Iodine,minor,4852
53,I,Iodine,minor,1072
53,I,Iodine,minor,931
53,I,Iodine,minor,875
53,I,Iodine,minor,186
53,I,Iodine,minor,123
54,Xe,Xenon,major,34561
54,Xe,Xenon,major,4782
54,Xe,Xenon,major,684
54,Xe,Xenon,major,672
54,Xe,Xenon,major,63
54,Xe,Xenon,minor,5453
54,Xe,Xenon,minor,5104
54,Xe,Xenon,minor,1143
54,Xe,Xenon,minor,999
54,Xe,Xenon,minor,937
54,Xe,Xenon,minor,208
54,Xe,Xenon,minor,147
55,Cs,Cesium,major,5012
55,Cs,Cesium,major,740
55,Cs,Cesium,major,726
55,Cs,Cesium,major,79
55,Cs,Cesium,major,77
55,Cs,Cesium,major,13
55,Cs,Cesium,major,11
55,Cs,Cesium,minor,5715
55,Cs,Cesium,minor,5359
55,Cs,Cesium,minor,1217
55,Cs,Cesium,minor,1065
55,Cs,Cesium,minor,998
55,Cs,Cesium,minor,231
55,Cs,Cesium,minor,172
55,Cs,Cesium,minor,162
55,Cs,Cesium,minor,23
56,Ba,Barium,major,5247
56,Ba,Barium,major,796
56,Ba,Barium,major,781
56,Ba,Barium,major,93
56,Ba,Barium,major,90
56,Ba,Barium,major,17
56,Ba,Barium,major,15
56,Ba,Barium,minor,5989
56,Ba,Barium,minor,5624
56,Ba,Barium,minor,1293
56,Ba,Barium,minor,1137
56,Ba,Barium,minor,1062
56,Ba,Barium,minor,253
56,Ba,Barium,minor,180
56,Ba,Barium,minor,180
56,Ba,Barium,minor,39
57,La,Lanthanum,major,849
57,La,Lanthanum,major,832
57,La,Lanthanum,major,99
57,La,Lanthanum,major,14
57,La,Lanthanum,minor,6266
57,La,Lanthanum,minor,5891
57,La,Lanthanum,minor,1361
57,La,Lanthanum,minor,1204
57,La,Lanthanum,minor,1123
57,La,Lanthanum,minor,270
57,La,Lanthanum,minor,206
57,La,Lanthanum,minor,191
57,La,Lanthanum,minor,32
58,Ce,Cerium,major,5723
58,Ce,Cerium,major,901
58,Ce,Cerium,major,883
58,Ce,Cerium,major,110
58,Ce,Cerium,major,20
58,Ce,Cerium,minor,6549
58,Ce,Cerium,minor,6164
58,Ce,Cerium,minor,1435
58,Ce,Cerium,minor,1273
58,Ce,Cerium,minor,1185
58,Ce,Cerium,minor,290
58,Ce,Cerium,minor,233
58,Ce,Cerium,minor,207
58,Ce,Cerium,minor,38
59,Pr,Praseodymium,major,5964
59,Pr,Praseodymium,major,951
59,Pr,Praseodymium,major,931
59,Pr,Praseodymium,major,113
59,Pr,Praseodymium,major,22
59,Pr,Praseodymium,minor,6835
59,Pr,Praseodymium,minor,6440
59,Pr,Praseodymium,minor,1511
59,Pr,Praseodymium,minor,1337
59,Pr,Praseodymium,minor,1242
59,Pr,Praseodymium,minor,305
59,Pr,Praseodymium,minor,236
59,Pr,Praseodymium,minor,218
59,Pr,Praseodymium,minor,37
60,Nd,Neodymium,major,5964
60,Nd,Neodymium,major,1000
60,Nd,Neodymium,major,978
60,Nd,Neodymium,major,118
60,Nd,Neodymium,major,21
60,Nd,Neodymium,minor,6835
60,Nd,Neodymium,minor,5964
60,Nd,Neodymium,minor,1575
60,Nd,Neodymium,minor,1403
60,Nd,Neodymium,minor,1297
60,Nd,Neodymium,minor,315
60,Nd,Neodymium,minor,225
60,Nd,Neodymium,minor,225
60,Nd,Neodymium,minor,38
61,Pm,Promethium,major,6459
61,Pm,Promethium,major,1052
61,Pm,Promethium,major,1027
61,Pm,Promethium,major,120
61,Pm,Promethium,major,121
61,Pm,Promethium,major,24
61,Pm,Promethium,minor,7428
61,Pm,Promethium,minor,7013
61,Pm,Promethium,minor,1646
61,Pm,Promethium,minor,1471
61,Pm,Promethium,minor,1357
61,Pm,Promethium,minor,330
61,Pm,Promethium,minor,242
62,Sm,Samarium,major,6716
62,Sm,Samarium,major,1106
62,Sm,Samarium,major,1080
62,Sm,Samarium,major,129
62,Sm,Samarium,major,21
62,Sm,Samarium,minor,7737
62,Sm,Samarium,minor,7312
62,Sm,Samarium,minor,1723
62,Sm,Samarium,minor,1541
62,Sm,Samarium,minor,1420
62,Sm,Samarium,minor,346
62,Sm,Samarium,minor,266
62,Sm,Samarium,minor,247
62,Sm,Samarium,minor,37
63,Eu,Europium,major,6977
63,Eu,Europium,major,1161
63,Eu,Europium,major,1131
63,Eu,Europium,major,133
63,Eu,Europium,major,22
63,Eu,Europium,minor,8052
63,Eu,Europium,minor,7617
63,Eu,Europium,minor,1800
63,Eu,Europium,minor,1614
63,Eu,Europium,minor,1481
63,Eu,Europium,minor,360
63,Eu,Europium,minor,284
63,Eu,Europium,minor,257
63,Eu,Europium,minor,32
64,Gd,Gadolinium,major,7243
64,Gd,Gadolinium,major,1217
64,Gd,Gadolinium,major,1185
64,Gd,Gadolinium,major,141
64,Gd,Gadolinium,major,20
64,Gd,Gadolinium,minor,8376
64,Gd,Gadolinium,minor,7930
64,Gd,Gadolinium,minor,1881
64,Gd,Gadolinium,minor,1688
64,Gd,Gadolinium,minor,1544
64,Gd,Gadolinium,minor,376
64,Gd,Gadolinium,minor,289
64,Gd,Gadolinium,minor,271
64,Gd,Gadolinium,minor,36
65,Tb,Terbium,major,7514
65,Tb,Terbium,major,1275
65,Tb,Terbium,major,1241
65,Tb,Terbium,major,147
65,Tb,Terbium,major,25
65,Tb,Terbium,minor,8708
65,Tb,Terbium,minor,8252
65,Tb,Terbium,minor,1968
65,Tb,Terbium,minor,1768
65,Tb,Terbium,minor,1611
65,Tb,Terbium,minor,398
65,Tb,Terbium,minor,310
65,Tb,Terbium,minor,285
65,Tb,Terbium,minor,39
66,Dy,Dysprosium,major,1333
66,Dy,Dysprosium,major,1295
66,Dy,Dysprosium,major,154
66,Dy,Dysprosium,major,26
66,Dy,Dysprosium,major,7790
66,Dy,Dysprosium,minor,9046
66,Dy,Dysprosium,minor,8581
66,Dy,Dysprosium,minor,2047
66,Dy,Dysprosium,minor,1842
66,Dy,Dysprosium,minor,1676
66,Dy,Dysprosium,minor,416
66,Dy,Dysprosium,minor,332
66,Dy,Dysprosium,minor,293
66,Dy,Dysprosium,minor,63
67,Ho,Holmium,major,8071
67,Ho,Holmium,major,1392
67,Ho,Holmium,major,1351
67,Ho,Holmium,major,161
67,Ho,Holmium,major,20
67,Ho,Holmium,minor,9394
67,Ho,Holmium,minor,8918
67,Ho,Holmium,minor,2128
67,Ho,Holmium,minor,1923
67,Ho,Holmium,minor,1741
67,Ho,Holmium,minor,436
67,Ho,Holmium,minor,344
67,Ho,Holmium,minor,307
67,Ho,Holmium,minor,51
68,Er,Erbium,major,8358
68,Er,Erbium,major,1453
68,Er,Erbium,major,1409
68,Er,Erbium,major,177
68,Er,Erbium,major,168
68,Er,Erbium,major,29
68,Er,Erbium,minor,9751
68,Er,Erbium,minor,9264
68,Er,Erbium,minor,2207
68,Er,Erbium,minor,2006
68,Er,Erbium,minor,1812
68,Er,Erbium,minor,449
68,Er,Erbium,minor,366
68,Er,Erbium,minor,320
68,Er,Erbium,minor,60
69,Tm,Thulium,major,8648
69,Tm,Thulium,major,1515
69,Tm,Thulium,major,1468
69,Tm,Thulium,major,180
69,Tm,Thulium,major,32
69,Tm,Thulium,minor,10116
69,Tm,Thulium,minor,9617
69,Tm,Thulium,minor,2307
69,Tm,Thulium,minor,2090
69,Tm,Thulium,minor,1885
69,Tm,Thulium,minor,472
69,Tm,Thulium,minor,386
69,Tm,Thulium,minor,337
69,Tm,Thulium,minor,53
70,Yb,Ytterbium,major,8944
70,Yb,Ytterbium,major,1576
70,Yb,Ytterbium,major,1528
70,Yb,Ytterbium,major,198
70,Yb,Ytterbium,major,185
70,Yb,Ytterbium,major,23
70,Yb,Ytterbium,minor,10486
70,Yb,Ytterbium,minor,9978
70,Yb,Ytterbium,minor,2398
70,Yb,Ytterbium,minor,2173
70,Yb,Ytterbium,minor,1950
70,Yb,Ytterbium,minor,487
70,Yb,Ytterbium,minor,397
70,Yb,Ytterbium,minor,344
70,Yb,Ytterbium,minor,54
71,Lu,Lutetium,major,9244
71,Lu,Lutetium,major,1639
71,Lu,Lutetium,major,1589
71,Lu,Lutetium,major,195
71,Lu,Lutetium,major,195
71,Lu,Lutetium,major,28
71,Lu,Lutetium,minor,10870
71,Lu,Lutetium,minor,10349
71,Lu,Lutetium,minor,2491
71,Lu,Lutetium,minor,2264
71,Lu,Lutetium,minor,2024
71,Lu,Lutetium,minor,506
71,Lu,Lutetium,minor,410
71,Lu,Lutetium,minor,359
71,Lu,Lutetium,minor,57
72,Hf,Hafnium,major,9561
72,Hf,Hafnium,major,1716
72,Hf,Hafnium,major,1662
72,Hf,Hafnium,major,38
72,Hf,Hafnium,major,31
72,Hf,Hafnium,minor,11271
72,Hf,Hafnium,minor,10739
72,Hf,Hafnium,minor,2601
72,Hf,Hafnium,minor,2365
72,Hf,Hafnium,minor,2108
72,Hf,Hafnium,minor,538
72,Hf,Hafnium,minor,437
72,Hf,Hafnium,minor,380
72,Hf,Hafnium,minor,224
72,Hf,Hafnium,minor,214
72,Hf,Hafnium,minor,65
73,Ta,Tantalum,major,9881
73,Ta,Tantalum,major,1793
73,Ta,Tantalum,major,1735
73,Ta,Tantalum,major,45
73,Ta,Tantalum,major,36
73,Ta,Tantalum,minor,11682
73,Ta,Tantalum,minor,11136
73,Ta,Tantalum,minor,2708
73,Ta,Tantalum,minor,2469
73,Ta,Tantalum,minor,2194
73,Ta,Tantalum,minor,566
73,Ta,Tantalum,minor,465
73,Ta,Tantalum,minor,405
73,Ta,Tantalum,minor,241
73,Ta,Tantalum,minor,229
73,Ta,Tantalum,minor,71
74,W,Tungsten,major,10207
74,W,Tungsten,major,1872
74,W,Tungsten,major,1809
74,W,Tungsten,major,47
74,W,Tungsten,major,36
74,W,Tungsten,minor,12100
74,W,Tungsten,minor,11544
74,W,Tungsten,minor,2820
74,W,Tungsten,minor,2575
74,W,Tungsten,minor,2281
74,W,Tungsten,minor,595
74,W,Tungsten,minor,492
74,W,Tungsten,minor,425
74,W,Tungsten,minor,259
74,W,Tungsten,minor,245
74,W,Tungsten,minor,37
74,W,Tungsten,minor,34
74,W,Tungsten,minor,77
75,Re,Rhenium,major,10535
75,Re,Rhenium,major,1949
75,Re,Rhenium,major,1883
75,Re,Rhenium,major,46
75,Re,Rhenium,major,35
75,Re,Rhenium,minor,12527
75,Re,Rhenium,minor,11959
75,Re,Rhenium,minor,2932
75,Re,Rhenium,minor,2682
75,Re,Rhenium,minor,2367
75,Re,Rhenium,minor,625
75,Re,Rhenium,minor,518
75,Re,Rhenium,minor,444
75,Re,Rhenium,minor,274
75,Re,Rhenium,minor,260
75,Re,Rhenium,minor,41
75,Re,Rhenium,minor,83
76,Os,Osmium,major,10871
76,Os,Osmium,major,2031
76,Os,Osmium,major,1960
76,Os,Osmium,major,58
76,Os,Osmium,major,45
76,Os,Osmium,minor,12968
76,Os,Osmium,minor,12385
76,Os,Osmium,minor,3049
76,Os,Osmium,minor,2792
76,Os,Osmium,minor,2457
76,Os,Osmium,minor,654
76,Os,Osmium,minor,547
76,Os,Osmium,minor,468
76,Os,Osmium,minor,289
76,Os,Osmium,minor,273
76,Os,Osmium,minor,46
76,Os,Osmium,minor,84
77,Ir,Iridium,major,11215
77,Ir,Iridium,major,2116
77,Ir,Iridium,major,2040
77,Ir,Iridium,major,63
77,Ir,Iridium,major,51
77,Ir,Iridium,minor,13419
77,Ir,Iridium,minor,12824
77,Ir,Iridium,minor,3174
77,Ir,Iridium,minor,2909
77,Ir,Iridium,minor,2551
77,Ir,Iridium,minor,690
77,Ir,Iridium,minor,577
77,Ir,Iridium,minor,494
77,Ir,Iridium,minor,311
77,Ir,Iridium,minor,295
77,Ir,Iridium,minor,63
77,Ir,Iridium,minor,61
77,Ir,Iridium,minor,95
78,Pt,Platinum,major,11564
78,Pt,Platinum,major,2202
78,Pt,Platinum,major,2122
78,Pt,Platinum,minor,13880
78,Pt,Platinum,minor,13273
78,Pt,Platinum,minor,3296
78,Pt,Platinum,minor,3027
78,Pt,Platinum,minor,2645
78,Pt,Platinum,minor,722
78,Pt,Platinum,minor,609
78,Pt,Platinum,minor,519
78,Pt,Platinum,minor,331
78,Pt,Platinum,minor,313
78,Pt,Platinum,minor,74
78,Pt,Platinum,minor,71
78,Pt,Platinum,minor,102
78,Pt,Platinum,minor,65
78,Pt,Platinum,minor,52
79,Au,Gold,major,11919
79,Au,Gold,major,2291
79,Au,Gold,major,2206
79,Au,Gold,minor,14353
79,Au,Gold,minor,13734
79,Au,Gold,minor,3425
79,Au,Gold,minor,3148
79,Au,Gold,minor,2743
79,Au,Gold,minor,759
79,Au,Gold,minor,644
79,Au,Gold,minor,545
79,Au,Gold,minor,352
79,Au,Gold,minor,334
79,Au,Gold,minor,86
79,Au,Gold,minor,83
79,Au,Gold,minor,108
79,Au,Gold,minor,72
79,Au,Gold,minor,54
80,Hg,Mercury,major,12284
80,Hg,Mercury,major,2385
80,Hg,Mercury,major,2295
80,Hg,Mercury,minor,14839
80,Hg,Mercury,minor,14209
80,Hg,Mercury,minor,3562
80,Hg,Mercury,minor,3279
80,Hg,Mercury,minor,2847
80,Hg,Mercury,minor,800
80,Hg,Mercury,minor,677
80,Hg,Mercury,minor,571
80,Hg,Mercury,minor,378
80,Hg,Mercury,minor,360
80,Hg,Mercury,minor,102
80,Hg,Mercury,minor,99
80,Hg,Mercury,minor,120
80,Hg,Mercury,minor,81
80,Hg,Mercury,minor,58
81,Tl,Thallium,major,2485
81,Tl,Thallium,major,2389
81,Tl,Thallium,major,15
81,Tl,Thallium,major,13
81,Tl,Thallium,minor,15347
81,Tl,Thallium,minor,14698
81,Tl,Thallium,minor,12658
81,Tl,Thallium,minor,3704
81,Tl,Thallium,minor,3416
81,Tl,Thallium,minor,2957
81,Tl,Thallium,minor,846
81,Tl,Thallium,minor,721
81,Tl,Thallium,minor,609
81,Tl,Thallium,minor,407
81,Tl,Thallium,minor,386
81,Tl,Thallium,minor,123
81,Tl,Thallium,minor,119
81,Tl,Thallium,minor,136
81,Tl,Thallium,minor,100
81,Tl,Thallium,minor,75
82,Pb,Lead,major,13035
82,Pb,Lead,major,2586
82,Pb,Lead,major,2484
82,Pb,Lead,major,22
82,Pb,Lead,major,19
82,Pb,Lead,minor,15861
82,Pb,Lead,minor,15200
82,Pb,Lead,minor,3851
82,Pb,Lead,minor,3554
82,Pb,Lead,minor,3066
82,Pb,Lead,minor,894
82,Pb,Lead,minor,764
82,Pb,Lead,minor,645
82,Pb,Lead,minor,435
82,Pb,Lead,minor,413
82,Pb,Lead,minor,143
82,Pb,Lead,minor,138
82,Pb,Lead,minor,147
82,Pb,Lead,minor,105
82,Pb,Lead,minor,86
83,Bi,Bismuth,major,13419
83,Bi,Bismuth,major,2688
83,Bi,Bismuth,major,2580
83,Bi,Bismuth,major,27
83,Bi,Bismuth,major,24
83,Bi,Bismuth,minor,16388
83,Bi,Bismuth,minor,15711
83,Bi,Bismuth,minor,3999
83,Bi,Bismuth,minor,3696
83,Bi,Bismuth,minor,3177
83,Bi,Bismuth,minor,938
83,Bi,Bismuth,minor,805
83,Bi,Bismuth,minor,679
83,Bi,Bismuth,minor,464
83,Bi,Bismuth,minor,440
83,Bi,Bismuth,minor,162
83,Bi,Bismuth,minor,157
83,Bi,Bismuth,minor,159
83,Bi,Bismuth,minor,117
83,Bi,Bismuth,minor,93
84,Po,Polonium,major,13814
84,Po,Polonium,major,2798
84,Po,Polonium,major,2683
84,Po,Polonium,major,31
84,Po,Polonium,minor,16939
84,Po,Polonium,minor,16244
84,Po,Polonium,minor,4149
84,Po,Polonium,minor,3854
84,Po,Polonium,minor,3302
84,Po,Polonium,minor,995
84,Po,Polonium,minor,851
84,Po,Polonium,minor,705
84,Po,Polonium,minor,500
84,Po,Polonium,minor,473
85,At,Astatine,major,14214
85,At,Astatine,major,2908
85,At,Astatine,major,2787
85,At,Astatine,minor,17493
85,At,Astatine,minor,16785
85,At,Astatine,minor,4317
85,At,Astatine,minor,4008
85,At,Astatine,minor,3426
85,At,Astatine,minor,1042
85,At,Astatine,minor,886
85,At,Astatine,minor,740
85,At,Astatine,minor,533
86,Rn,Radon,major,14619
86,Rn,Radon,major,3022
86,Rn,Radon,major,2892
86,Rn,Radon,minor,18049
86,Rn,Radon,minor,17337
86,Rn,Radon,minor,4482
86,Rn,Radon,minor,4159
86,Rn,Radon,minor,3538
86,Rn,Radon,minor,1097
86,Rn,Radon,minor,929
86,Rn,Radon,minor,768
86,Rn,Radon,minor,567
